Distribuidor;Ceco;Tipo de precio;Precio;Marca;Referencia;Categoria;Descripcion;Garantia;Ventajas competitivas;Otros productos;URL;
AUTOSOLAR ENERGIA DE COLOMBIA SAS;ENERGIA SOLAR;Precio declarado;$6.837.075;GROWATT;SPF 12000T DVM;Inversor cargador;;;;;https://cdn.autosolar.co/pdf/3004263-SPF-4000T-12000-DVM.pdf;
Biosolar;BATERIAS;Precio comercial;$290.000;USBATT;Bateria 40AH 12V GEL;Gel;;;;;;
Biosolar;BATERIAS;Precio comercial;$360.000;USBATT;Bateria 55AH 12V GEL;Gel;;;;;;
Biosolar;BATERIAS;Precio comercial;$500.000;USBATT;Bateria 80AH 12V GEL;Gel;;;;;;
Biosolar;BATERIAS;Precio comercial;$610.000;USBATT;Bateria 100AH 12V GEL;Gel;;;;;;
Biosolar;BATERIAS;Precio comercial;$730.000;USBATT;Bateria 120AH 12V GEL;Gel;;;;;;
Biosolar;BATERIAS;Precio comercial;$920.000;USBATT;Bateria 150AH 12V GEL;Gel;;;;;;
Biosolar;BATERIAS;Precio comercial;$1.210.000;USBATT;Bateria 200AH 12V GEL;Gel;;;;;;
Biosolar;BATERIAS;Precio comercial;$1.520.000;USBATT;Bateria 250AH 12V GEL;Gel;;;;;;
Cosostenible;ENERGIA SOLAR;Precio comercial;$35.000;Greenpoint;CONTROLADOR VERDE 10A;Controlador;;;#N/A;#N/A;https://drive.google.com/file/d/14FgikCm8rSxs8dO-VGvZYJuRvfmScU1f/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$41.000;Greenpoint;CONTROLADOR VERDE 20A;Controlador;;;#N/A;#N/A;https://drive.google.com/file/d/14FgikCm8rSxs8dO-VGvZYJuRvfmScU1f/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$75.000;Greenpoint;CONTROLADOR VERDE 30A;Controlador;;;#N/A;#N/A;https://drive.google.com/file/d/14FgikCm8rSxs8dO-VGvZYJuRvfmScU1f/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$88.830;Greenpoint;CONTROLADOR VERDE 40A;Controlador;;;#N/A;#N/A;https://drive.google.com/file/d/14FgikCm8rSxs8dO-VGvZYJuRvfmScU1f/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$130.000;Greenpoint;CONTROLADOR VERDE 60A;Controlador;;;#N/A;#N/A;https://drive.google.com/file/d/14FgikCm8rSxs8dO-VGvZYJuRvfmScU1f/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$51.362;Greenpoint;CONTROLADOR GRIS 10 A;Controlador;;;#N/A;#N/A;https://drive.google.com/file/d/14kyf7gztxtWt2pJermVvcNPrA62YfYsm/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$59.346;Greenpoint;CONTROLADOR GRIS 20 A;Controlador;;;#N/A;#N/A;https://drive.google.com/file/d/14kyf7gztxtWt2pJermVvcNPrA62YfYsm/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$97.020;Greenpoint;CONTROLADOR GRIS 30 A;Controlador;;;#N/A;#N/A;https://drive.google.com/file/d/14kyf7gztxtWt2pJermVvcNPrA62YfYsm/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$101.850;Greenpoint;CONTROLADOR GRIS 40 A;Controlador;;;#N/A;#N/A;https://drive.google.com/file/d/14kyf7gztxtWt2pJermVvcNPrA62YfYsm/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$169.050;Greenpoint;CONTROLADOR GRIS 60 A;Controlador;;;#N/A;#N/A;https://drive.google.com/file/d/14kyf7gztxtWt2pJermVvcNPrA62YfYsm/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$244.445;SRNE;CONTROLADOR SOLAR MPPT 20A SRNE;Controlador;;;N/A;N/A;https://drive.google.com/file/d/14YwwkwJmSrraoJz5z6DZkSCLT-Wfw4QZ/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$313.334;SRNE;CONTROLADOR SOLAR MPPT 30A  SRNE;Controlador;;;N/A;N/A;https://drive.google.com/file/d/14YwwkwJmSrraoJz5z6DZkSCLT-Wfw4QZ/view?usp=sharing;
Cosostenible;ENERGIA SOLAR;Precio comercial;$339.431;SRNE;CONTROLADOR SOLAR MPPT 40A SRNE;Controlador;;;N/A;N/A;https://drive.google.com/file/d/14YwwkwJmSrraoJz5z6DZkSCLT-Wfw4QZ/view?usp=sharing;
